Date, SleepTime, WakeTime, Hours,decST,decWT
3/1/2020,2:52,9:14,6.36,2.87,9.23
2/29/2020,3:47,9:44,5.96,3.78,9.73
2/28/2020,0:28,7:38,7.17,0.47,7.63
2/27/2020,23:15,6:45,7.48,23.25,6.75
2/26/2020,0:45,8:55,8.16,0.75,8.92
2/25/2020,23:18,6:45,7.44,23.30,6.75
2/24/2020,23:31,6:56,7.41,23.52,6.93
2/23/2020,3:48,10:04,6.26,3.80,10.07
2/22/2020,3:04,8:43,5.65,3.07,8.72
2/21/2020,23:47,8:24,8.61,23.78,8.40
2/20/2020,0:41,6:55,6.22,0.68,6.92
2/19/2020,0:46,8:13,7.45,0.77,8.22
2/18/2020,23:27,6:55,7.45,23.45,6.92
2/17/2020,0:12,6:45,6.55,0.20,6.75
2/16/2020,1:19,8:33,7.24,1.32,8.55
2/15/2020,2:50,10:16,7.41,2.83,10.27
2/14/2020,23:51,7:51,7.99,23.85,7.85
2/13/2020,23:15,7:05,7.83,23.25,7.08
2/12/2020,0:51,8:42,7.84,0.85,8.70
2/11/2020,23:33,6:55,7.36,23.55,6.92
2/10/2020,1:45,7:35,5.83,1.75,7.58
2/9/2020,2:07,9:09,7.03,2.12,9.15
2/8/2020,2:35,11:05,8.5,2.58,11.08
2/7/2020,1:19,9:06,7.79,1.32,9.10
2/6/2020,0:32,7:20,6.8,0.53,7.33
2/5/2020,0:32,8:40,8.12,0.53,8.67
2/4/2020,0:16,6:45,6.47,0.27,6.75
2/3/2020,0:09,6:45,6.6,0.15,6.75
2/2/2020,4:11,10:21,6.16,4.18,10.35
2/1/2020,1:59,8:52,6.88,1.98,8.87
1/31/2020,0:29,7:48,7.31,0.48,7.80
1/30/2020,23:26,7:15,7.81,23.43,7.25
1/29/2020,0:03,9:02,8.98,0.05,9.03
1/28/2020,23:50,6:44,6.9,23.83,6.73
1/27/2020,0:12,6:45,6.54,0.20,6.75
1/26/2020,2:20,7:45,5.41,2.33,7.75
1/25/2020,3:04,9:59,6.92,3.07,9.98
1/24/2020,23:34,8:29,8.9,23.57,8.48
1/23/2020,0:08,6:45,6.61,0.13,6.75
1/22/2020,1:14,8:17,7.06,1.23,8.28
1/21/2020,23:26,6:45,7.31,23.43,6.75
1/20/2020,1:13,7:13,6,1.22,7.22
1/19/2020,3:36,10:32,6.92,3.60,10.53
1/18/2020,2:32,9:11,6.64,2.53,9.18
1/17/2020,23:20,8:14,8.9,23.33,8.23
1/16/2020,23:25,6:45,7.32,23.42,6.75
1/15/2020,0:38,8:27,7.82,0.63,8.45
1/14/2020,23:34,9:05,9.51,23.57,9.08
1/13/2020,1:18,6:45,5.43,1.30,6.75
1/12/2020,0:19,11:09,10.8,0.32,11.15
1/11/2020,3:58,7:00,3.02,3.97,7.00
1/10/2020,0:58,9:41,8.7,0.97,9.68
1/9/2020,3:10,9:51,6.68,3.17,9.85
1/8/2020,1:37,9:53,8.26,1.62,9.88
1/7/2020,2:12,9:40,7.46,2.20,9.67
1/6/2020,1:55,10:35,8.65,1.92,10.58
1/5/2020,2:37,8:55,6.3,2.62,8.92
1/4/2020,1:33,9:19,7.76,1.55,9.32
1/3/2020,0:17,8:00,7.71,0.28,8.00
1/2/2020,3:16,9:39,6.38,3.27,9.65
1/2/2020,0:41,2:43,2.03,0.68,2.72
1/1/2020,1:11,9:36,8.41,1.18,9.60
12/31/2019,1:33,8:45,7.2,1.55,8.75
12/30/2019,6:31,8:00,1.48,6.52,8.00
12/30/2019,0:03,5:28,5.41,0.05,5.47
12/29/2019,3:07,9:14,6.11,3.12,9.23
12/28/2019,1:24,9:48,8.4,1.40,9.80
12/27/2019,1:58,9:08,7.16,1.97,9.13
12/26/2019,0:14,9:21,9.13,0.23,9.35
12/25/2019,1:44,8:29,6.74,1.73,8.48
12/24/2019,2:14,10:10,7.93,2.23,10.17
12/23/2019,1:58,9:38,7.66,1.97,9.63
12/22/2019,5:01,9:53,4.86,5.02,9.88
12/21/2019,1:36,9:17,7.68,1.60,9.28
12/20/2019,1:16,9:04,7.79,1.27,9.07
12/19/2019,0:19,8:55,8.59,0.32,8.92
12/18/2019,23:45,8:12,8.45,23.75,8.20
12/17/2019,1:22,9:27,8.09,1.37,9.45
12/16/2019,0:48,9:07,8.33,0.80,9.12
12/15/2019,0:33,8:04,7.5,0.55,8.07
12/14/2019,0:30,9:38,9.13,0.50,9.63
12/13/2019,1:06,6:45,5.64,1.10,6.75
12/12/2019,22:10,6:45,8.57,22.17,6.75
12/11/2019,23:04,7:59,8.91,23.07,7.98
12/10/2019,1:02,7:30,6.47,1.03,7.50
12/9/2019,23:49,8:45,8.93,23.82,8.75
12/8/2019,2:42,9:24,6.7,2.70,9.40
12/7/2019,2:08,9:26,7.3,2.13,9.43
12/6/2019,23:30,6:55,7.41,23.50,6.92
12/5/2019,0:17,7:46,7.48,0.28,7.77
12/4/2019,0:24,6:45,6.34,0.40,6.75
12/3/2019,0:22,8:09,7.79,0.37,8.15
12/2/2019,22:40,6:00,7.33,22.67,6.00
12/1/2019,10:45,11:28,0.71,10.75,11.47
12/1/2019,1:43,5:00,3.28,1.72,5.00
11/30/2019,2:54,10:13,7.32,2.90,10.22
11/29/2019,1:50,8:19,6.48,1.83,8.32
11/28/2019,2:50,11:00,8.17,2.83,11.00
11/27/2019,7:12,7:21,0.15,7.20,7.35
11/27/2019,1:43,6:45,5.03,1.72,6.75
11/26/2019,0:32,8:05,7.54,0.53,8.08
11/25/2019,0:00,8:05,8.08,0.00,8.08
11/24/2019,4:29,10:35,6.1,4.48,10.58
