Date       SleepTime  WakeTime   Hours      decST      decWT
   05/13/19       0:23       9:02       8.65       0.38       9.03
   05/12/19      22:52       9:10       10.3      22.87       9.17
   05/11/19       0:04       8:18       8.22       0.07       8.30
   05/10/19       1:11       9:52       8.67       1.18       9.87
   05/09/19       0:01       5:55       5.89       0.02       5.92
   05/08/19       1:22      10:04        8.7       1.37      10.07
   05/07/19       0:47       8:52       8.07       0.78       8.87
   05/06/19       0:45      10:00       9.24       0.75      10.00
   05/05/19       3:10      10:45       7.58       3.17      10.75
   05/04/19       2:08      10:06       7.96       2.13      10.10
   05/03/19       0:36       9:37       9.01       0.60       9.62
   05/02/19       0:29       8:40       8.18       0.48       8.67
   05/01/19       0:20       8:30       8.16       0.33       8.50
   04/30/19       0:21       8:45        8.4       0.35       8.75
   04/29/19       0:27       9:16       8.81       0.45       9.27
   04/28/19       3:23      11:02       7.64       3.38      11.03
   04/27/19       4:14      11:02        6.8       4.23      11.03
   04/26/19       0:14       8:30       8.26       0.23       8.50
   04/25/19       0:20       8:30       8.16       0.33       8.50
   04/24/19      23:45       8:30       8.74      23.75       8.50
   04/23/19       0:34       8:30       7.92       0.57       8.50
   04/22/19       0:20       7:44       7.39       0.33       7.73
   04/21/19       0:37       8:46       8.15       0.62       8.77
   04/20/19      23:57       8:51       8.89      23.95       8.85
   04/19/19       0:05       9:54       9.81       0.08       9.90
   04/18/19       1:12       8:31       7.31       1.20       8.52
   04/17/19       0:44       8:43       7.97       0.73       8.72
   04/16/19       0:43       8:40       7.94       0.72       8.67
   04/15/19      23:52       8:30       8.63      23.87       8.50
   04/14/19       3:45      10:13       6.46       3.75      10.22
